name,logicalN,logicalH,low bound,low dist,high bound,high dist
Weight,1,1.00E+99,none,none,240.3828924,norm
Height,1,1.00E+99,none,none,320.3202322,norm
BMI,1,1.00E+99,none,none,68.91637666,norm
PULSE,1,300,none,none,285.3549087,lognorm
Hemoglobin,0.1,100,none,none,25.10298359,norm
RBC,0.1,1.00E+99,none,none,8.193177008,norm
Hematocrit,0.1,100,none,none,72.43142171,norm
Platelets,0.1,1.00E+99,none,none,1843.917058,lognorm
WBC,0.01,1.00E+99,none,none,120,manual
MCH,0.01,1.00E+99,none,none,45.68579889,norm
MCHC-M,0.1,1.00E+99,none,none,41.97380744,norm
MCV,1,1.00E+99,none,none,130.9915444,norm
Eosinophils#,0,1.00E+99,none,none,12.50871133,lognorm
Monocytes#,0,1.00E+99,none,none,8.12876415,lognorm
Basophils#,0,1.00E+99,none,none,13.80182672,lognorm
Lymphocytes#,0,1.00E+99,none,none,25.86948952,lognorm
Neutrophils#,0,1.00E+99,none,none,79.26885623,lognorm
Eosinophils%,0,100,none,none,none,none
Monocytes%,0,100,none,none,none,none
Basophils%,0,100,none,none,14.87937226,lognorm
Lymphocytes%,0,100,none,none,none,none
Neutrophils%,0,100,none,none,none,none
MPV,0,1.00E+99,none,none,27.25889768,lognorm
PDW,0,100,none,none,39.42776545,lognorm
PlasmaViscosity,0.1,1.00E+99,none,none,5.093440521,lognorm
Platelets_Hematocrit,0,100,none,none,none,none
INR,0.01,1.00E+99,none,none,15,manual
RDW,0,100,none,none,26.12232608,lognorm
UrineTotalProtein,0,1.00E+99,none,none,159.820147,lognorm
UrineAlbumin,0,1.00E+99,none,none,113282.8368,lognorm
UrineCreatinine,0,1.00E+99,none,none,3007.223193,lognorm
UrineAlbumin_over_Creatinine,0,1.00E+99,none,none,20116.5322,lognorm
Iron_Fe,0,1.00E+99,none,none,384.2218751,norm
Ferritin,0,1.00E+99,none,none,179043.7138,lognorm
B12,0,1.00E+99,none,none,10033.56281,lognorm
VitaminD_25,0,1.00E+99,none,none,4135.456455,lognorm
Transferrin,0,1.00E+99,none,none,1251.354266,lognorm
Cholesterol,0,1.00E+99,none,none,1030.927322,lognorm
Triglycerides,0,1.00E+99,none,none,5137.415471,lognorm
LDL,0,1.00E+99,none,none,1539.900884,lognorm
HDL,0,1.00E+99,none,none,418.3089097,lognorm
NonHDLCholesterol,0,1.00E+99,none,none,1401.434359,lognorm
HDL_over_nonHDL,0,1.00E+99,none,none,2.029837851,norm
HDL_over_Cholesterol,0,1.00E+99,none,none,3.122539968,lognorm
HDL_over_LDL,0,1.00E+99,none,none,12.19513883,lognorm
Cholesterol_over_HDL,0,1.00E+99,none,none,36.09669438,lognorm
CK,0,1.00E+99,none,none,6630.747842,lognorm
LDL_over_HDL,0,1.00E+99,none,none,51.72779688,lognorm
Creatinine,0.01,1.00E+99,none,none,5.470573111,lognorm
Urea,0.01,1.00E+99,none,none,430.8277113,lognorm
eGFR,0,1.00E+99,none,none,143.583616,lognorm
Uric_Acid,0,1.00E+99,none,none,55.28509862,lognorm
eGFR_MDRD,0,1.00E+99,none,none,273.4749408,norm
eGFR_CKD_EPI,0,1.00E+99,none,none,260.2734935,norm
GFR,0,1.00E+99,none,none,146.2058282,lognorm
Glucose,0.1,1.00E+99,none,none,697.3311184,lognorm
HbA1C,0.1,100,none,none,28.45661321,lognorm
RandomGlucose,1,1.00E+99,none,none,1136.372137,lognorm
ALT,0,1.00E+99,none,none,1023.898218,lognorm
AST,0,1.00E+99,none,none,308.9196063,lognorm
GGT,0,1.00E+99,none,none,11606.93758,lognorm
LDH,0,1.00E+99,none,none,4586.717753,lognorm
ALKP,0,1.00E+99,none,none,1366.422162,lognorm
Bilirubin,0,1.00E+99,none,none,16.87343743,lognorm
Albumin,0.1,1.00E+99,none,none,7.203592805,norm
Protein_Total,0,1.00E+99,none,none,11.56895479,lognorm
Na,1,1.00E+99,120.8793445,lognorm,161.6711212,lognorm
K+,0.1,1.00E+99,2.086470106,lognorm,9.156878288,lognorm
Ca,0.1,1.00E+99,6.673506567,lognorm,13.1505949,lognorm
CorrectedCa,0.1,1.00E+99,6.643321572,lognorm,12.99338235,lognorm
Cl,0.1,1.00E+99,81.73576751,lognorm,129.6849877,lognorm
Lithium,0,1.00E+99,none,none,39.61953249,lognorm
Mg,0.01,1.00E+99,none,none,2.113294532,lognorm
Phosphore,0.1,1.00E+99,none,none,7.793640488,norm
Bicarbonate,0.1,1.00E+99,5.048214541,norm,48.02457951,norm
SerumAnionGap,-1.00E+99,1.00E+99,-7.763505351,norm,34.21884248,norm
PlasmaAnionGap,-1.00E+99,1.00E+99,-4.790862408,norm,38.30832862,norm
FreeT3,0.001,1.00E+99,none,none,46.79056395,lognorm
FreeT4,0.001,1.00E+99,none,none,64.27336088,lognorm
T4,0.001,1.00E+99,none,none,40.14304291,norm
CO2,1,1.00E+99,none,none,52.46921412,norm
Digoxin,0,1.00E+99,none,none,88.49217997,lognorm
Globulin,0,1.00E+99,none,none,87.00820496,lognorm
Amylase,0.1,1.00E+99,none,none,1417.712611,lognorm
Testosterone,0,1.00E+99,none,none,572.4061104,lognorm
Fibrinogen,0,1.00E+99,none,none,3251.551091,lognorm
Prolactin,0,1.00E+99,none,none,16288.44876,lognorm
LuteinisingHormone,0,1.00E+99,none,none,12098.73012,lognorm
PSA,0,1.00E+99,none,none,4619.360086,lognorm
Follic_Acid,0,1.00E+99,none,none,445.1317328,lognorm
PFR,0,1.00E+99,none,none,1328.242946,norm
CRP,0,1.00E+99,none,none,2177.712564,lognorm
TSH,0,1.00E+99,none,none,302.8916089,lognorm
CA125,0,1.00E+99,none,none,2024.757971,lognorm
FSH,0,1.00E+99,none,none,45399.78,lognorm
Progesterone,0,1.00E+99,none,none,724363.8626,lognorm
Serum_Oestradiol,0,1.00E+99,none,none,188460.5286,lognorm
Erythrocyte,0,1.00E+99,none,none,13772.43655,lognorm
Urine_Microalbumin,0,1.00E+99,none,none,99771.15903,lognorm
Urine_Protein_Creatinine,0,1.00E+99,none,none,29928.16788,lognorm
LUC,0,1.00E+99,none,none,2.817745324,lognorm
Rheumatoid_Factor,0,1.00E+99,none,none,3021.474146,lognorm
NRBC,0,1.00E+99,none,none,3476.436337,lognorm
TIBC,0,1.00E+99,none,none,146.4669744,norm
Urine_Epithelial_Cell,0,1.00E+99,none,none,464267.9586,lognorm
